geography_name,geography_id,cancer_year,cancer_site,incidence_rate,centroid_latitude,centroid_longitude,case_count
Brewster,48043,2021,non-hodgkin lymphoma,~,29.8089965,-103.2524579,0
Briscoe,48045,2021,non-hodgkin lymphoma,~,34.5251725,-101.205893,~
Brooks,48047,2021,non-hodgkin lymphoma,~,27.0349936,-98.2152756,~
Brown,48049,2021,non-hodgkin lymphoma,~,31.7641372,-98.998456,~
Burleson,48051,2021,non-hodgkin lymphoma,~,30.4934867,-96.6220912,~
Burnet,48053,2021,non-hodgkin lymphoma,~,30.7896305,-98.2011868,~
Caldwell,48055,2021,non-hodgkin lymphoma,~,29.8323986,-97.628141,~
Calhoun,48057,2021,non-hodgkin lymphoma,~,28.4417191,-96.5795739,~
Callahan,48059,2021,non-hodgkin lymphoma,~,32.2931499,-99.372249,~
Cameron,48061,2021,non-hodgkin lymphoma,13.1,26.1029227,-97.4789584,57
Camp,48063,2021,non-hodgkin lymphoma,~,32.9745813,-94.979085,~
Carson,48065,2021,non-hodgkin lymphoma,~,35.4054961,-101.3553558,~
Cass,48067,2021,non-hodgkin lymphoma,~,33.0836979,-94.3575786,~
Castro,48069,2021,non-hodgkin lymphoma,~,34.5336207,-102.2587856,~
Chambers,48071,2021,non-hodgkin lymphoma,~,29.6963741,-94.6694454,~
Cherokee,48073,2021,non-hodgkin lymphoma,~,31.8438787,-95.1563431,~
Childress,48075,2021,non-hodgkin lymphoma,~,34.5246609,-100.208194,~
Clay,48077,2021,non-hodgkin lymphoma,~,33.7859042,-98.2129174,~
Cochran,48079,2021,non-hodgkin lymphoma,~,33.6084401,-102.830449,0
Coke,48081,2021,non-hodgkin lymphoma,~,31.8771104,-100.6352305,0
Coleman,48083,2021,non-hodgkin lymphoma,~,31.9142052,-99.3466223,~
Collin,48085,2021,non-hodgkin lymphoma,17.5,33.1944818,-96.5794285,190
Collingsworth,48087,2021,non-hodgkin lymphoma,~,34.9633577,-100.2721351,0
Colorado,48089,2021,non-hodgkin lymphoma,~,29.5962618,-96.5088884,~
Comal,48091,2021,non-hodgkin lymphoma,15.7,29.8123773,-98.2581288,37
Comanche,48093,2021,non-hodgkin lymphoma,~,31.9516447,-98.5496169,0
Concho,48095,2021,non-hodgkin lymphoma,~,31.3188831,-99.8636485,0
Cooke,48097,2021,non-hodgkin lymphoma,29.8,33.6391964,-97.2103433,17
Coryell,48099,2021,non-hodgkin lymphoma,~,31.3911774,-97.7980223,~
Cottle,48101,2021,non-hodgkin lymphoma,~,34.0919063,-100.2764416,~
Crane,48103,2021,non-hodgkin lymphoma,~,31.4396085,-102.4925044,0
Crockett,48105,2021,non-hodgkin lymphoma,~,30.7175316,-101.4042113,~
Crosby,48107,2021,non-hodgkin lymphoma,~,33.609144,-101.2987099,~
Culberson,48109,2021,non-hodgkin lymphoma,~,31.4459085,-104.5269447,~
Dallam,48111,2021,non-hodgkin lymphoma,~,36.2863696,-102.5940204,~
Dallas,48113,2021,non-hodgkin lymphoma,19.6,32.7669866,-96.7784238,485
Dawson,48115,2021,non-hodgkin lymphoma,~,32.742528,-101.9487714,~
De Witt,48117,2021,non-hodgkin lymphoma,~,34.9407663,-102.6075637,~
Deaf Smith,48119,2021,non-hodgkin lymphoma,~,33.3859329,-95.6733504,~
Delta,48121,2021,non-hodgkin lymphoma,~,33.205132,-97.1211403,0
Denton,48123,2021,non-hodgkin lymphoma,16.1,29.0823457,-97.3616543,150
Dickens,48125,2021,non-hodgkin lymphoma,~,33.6153625,-100.7876176,0
Dimmit,48127,2021,non-hodgkin lymphoma,~,28.4235871,-99.7658713,~
Donley,48129,2021,non-hodgkin lymphoma,~,34.9550364,-100.8158457,0
Duval,48131,2021,non-hodgkin lymphoma,~,27.6811232,-98.4973933,~
Eastland,48133,2021,non-hodgkin lymphoma,~,32.3246454,-98.8365596,~
Ector,48135,2021,non-hodgkin lymphoma,22,31.8653008,-102.5425068,32
Edwards,48137,2021,non-hodgkin lymphoma,~,29.9859327,-100.3073997,~
El Paso,48141,2021,non-hodgkin lymphoma,16.7,31.7664559,-106.2415203,142
Ellis,48139,2021,non-hodgkin lymphoma,19.2,32.3468783,-96.7969403,39
Erath,48143,2021,non-hodgkin lymphoma,~,32.2362068,-98.2183364,~
Falls,48145,2021,non-hodgkin lymphoma,~,31.2519298,-96.9341275,~
Fannin,48147,2021,non-hodgkin lymphoma,~,33.5911611,-96.1049882,~
Fayette,48149,2021,non-hodgkin lymphoma,~,29.8778861,-96.9212309,~
Fisher,48151,2021,non-hodgkin lymphoma,~,32.7404728,-100.4031198,~
Floyd,48153,2021,non-hodgkin lymphoma,~,34.0737305,-101.3032742,~
Foard,48155,2021,non-hodgkin lymphoma,~,33.9633063,-99.8168285,0
Fort Bend,48157,2021,non-hodgkin lymphoma,17,29.5266017,-95.7710149,144
Franklin,48159,2021,non-hodgkin lymphoma,~,33.1758457,-95.2190662,~
Freestone,48161,2021,non-hodgkin lymphoma,~,31.7017487,-96.1449568,~
Frio,48163,2021,non-hodgkin lymphoma,~,28.8693828,-99.109005,~
Gaines,48165,2021,non-hodgkin lymphoma,~,32.7439423,-102.6315614,~
Galveston,48167,2021,non-hodgkin lymphoma,17.5,29.2339273,-94.8881969,70
Garza,48169,2021,non-hodgkin lymphoma,~,33.183792,-101.3011341,~
Gillespie,48171,2021,non-hodgkin lymphoma,~,30.3250955,-98.9418446,~
Glasscock,48173,2021,non-hodgkin lymphoma,~,31.8680062,-101.5214944,0
Goliad,48175,2021,non-hodgkin lymphoma,~,28.6607,-97.4304145,~
Gonzales,48177,2021,non-hodgkin lymphoma,~,29.4619121,-97.4919205,~
Gray,48179,2021,non-hodgkin lymphoma,~,35.4025424,-100.8123736,~
Grayson,48181,2021,non-hodgkin lymphoma,19.3,33.6245482,-96.6757774,36
Gregg,48183,2021,non-hodgkin lymphoma,14.1,32.4864014,-94.8162768,22
Grimes,48185,2021,non-hodgkin lymphoma,~,30.5432314,-95.988082,~
Guadalupe,48187,2021,non-hodgkin lymphoma,20,29.5826714,-97.9489953,40
Hale,48189,2021,non-hodgkin lymphoma,~,34.0684364,-101.8228879,~
Hall,48191,2021,non-hodgkin lymphoma,~,34.4531894,-100.5763434,0
Hamilton,48193,2021,non-hodgkin lymphoma,~,31.7073424,-98.1117562,~
Hansford,48195,2021,non-hodgkin lymphoma,~,36.2728469,-101.3569304,~
Hardeman,48197,2021,non-hodgkin lymphoma,~,34.2899036,-99.7456973,~
Hardin,48199,2021,non-hodgkin lymphoma,~,30.3296483,-94.3931782,~
Harris,48201,2021,non-hodgkin lymphoma,16.4,29.857273,-95.3930371,735
Harrison,48203,2021,non-hodgkin lymphoma,20.7,32.5479914,-94.3744344,16
Hartley,48205,2021,non-hodgkin lymphoma,~,35.8402444,-102.6100473,0
Haskell,48207,2021,non-hodgkin lymphoma,~,33.1759638,-99.730774,~
Hays,48209,2021,non-hodgkin lymphoma,18.5,30.0612247,-98.0292673,45
Hemphill,48211,2021,non-hodgkin lymphoma,~,35.8159564,-100.2792102,~
Henderson,48213,2021,non-hodgkin lymphoma,24.1,32.2116334,-95.8534183,29
Hidalgo,48215,2021,non-hodgkin lymphoma,14.5,26.3963839,-98.18099,113
Hill,48217,2021,non-hodgkin lymphoma,~,31.9826412,-97.1306323,~
Hockley,48219,2021,non-hodgkin lymphoma,~,33.605932,-102.3433978,~
Hood,48221,2021,non-hodgkin lymphoma,18.1,32.430149,-97.8316766,17
Hopkins,48223,2021,non-hodgkin lymphoma,~,33.1489673,-95.5654337,~
Houston,48225,2021,non-hodgkin lymphoma,~,31.3230362,-95.4215995,~
Howard,48227,2021,non-hodgkin lymphoma,~,32.3034298,-101.4387208,~
Hudspeth,48229,2021,non-hodgkin lymphoma,~,31.4508678,-105.3775489,~
Hunt,48231,2021,non-hodgkin lymphoma,18.7,33.1233077,-96.0842298,22
Hutchinson,48233,2021,non-hodgkin lymphoma,~,35.837047,-101.3627461,~
Irion,48235,2021,non-hodgkin lymphoma,~,31.3034241,-100.9813037,0
Jack,48237,2021,non-hodgkin lymphoma,~,33.2323023,-98.1711043,~
Jackson,48239,2021,non-hodgkin lymphoma,~,28.9598019,-96.58908,~
Jasper,48241,2021,non-hodgkin lymphoma,~,30.7529323,-94.0222943,~
Jeff Davis,48243,2021,non-hodgkin lymphoma,~,30.6253574,-104.191873,0
Jefferson,48245,2021,non-hodgkin lymphoma,20.3,29.8540273,-94.1493184,59
Jim Hogg,48247,2021,non-hodgkin lymphoma,~,27.0532315,-98.7475716,~
Jim Wells,48249,2021,non-hodgkin lymphoma,~,27.7335157,-98.0908141,~
Johnson,48251,2021,non-hodgkin lymphoma,19.9,32.379654,-97.3649061,44
Jones,48253,2021,non-hodgkin lymphoma,~,32.7437089,-99.8744297,~
Karnes,48255,2021,non-hodgkin lymphoma,~,28.9089957,-97.8522048,~
Kaufman,48257,2021,non-hodgkin lymphoma,14.9,32.5989442,-96.2883773,21
Kendall,48259,2021,non-hodgkin lymphoma,30.9,29.9435246,-98.7092693,19
Kerr,48265,2021,non-hodgkin lymphoma,26.9,30.0535627,-99.3746817,28
Kimble,48267,2021,non-hodgkin lymphoma,~,30.479472,-99.7463959,~
Kinney,48271,2021,non-hodgkin lymphoma,~,29.3470865,-100.4177003,~
Kleberg,48273,2021,non-hodgkin lymphoma,~,27.4387348,-97.6606203,~
Knox,48275,2021,non-hodgkin lymphoma,~,33.6118897,-99.7303563,0
La Salle,48283,2021,non-hodgkin lymphoma,~,28.3510976,-99.0967743,~
Lamar,48277,2021,non-hodgkin lymphoma,~,33.6672628,-95.5703477,~
Lamb,48279,2021,non-hodgkin lymphoma,~,34.0688615,-102.3480182,~
Lampasas,48281,2021,non-hodgkin lymphoma,~,31.1967308,-98.2408885,~
Lavaca,48285,2021,non-hodgkin lymphoma,~,29.3825778,-96.9236334,~
Lee,48287,2021,non-hodgkin lymphoma,~,30.3214983,-96.9768226,~
Leon,48289,2021,non-hodgkin lymphoma,~,31.3004926,-95.9956219,~
Liberty,48291,2021,non-hodgkin lymphoma,15.8,30.1585081,-94.8440607,16
Limestone,48293,2021,non-hodgkin lymphoma,~,31.5475427,-96.593623,~
Lipscomb,48295,2021,non-hodgkin lymphoma,~,36.2801998,-100.2726827,0
Live Oak,48297,2021,non-hodgkin lymphoma,~,28.3514791,-98.1268908,~
Llano,48299,2021,non-hodgkin lymphoma,~,30.7075845,-98.6846901,~
Lubbock,48303,2021,non-hodgkin lymphoma,18.7,33.6114688,-101.8199438,56
Lynn,48305,2021,non-hodgkin lymphoma,~,33.1784124,-101.8184933,0
Madison,48313,2021,non-hodgkin lymphoma,~,30.9668782,-95.9303719,~
Marion,48315,2021,non-hodgkin lymphoma,~,32.7981821,-94.3568533,~
Martin,48317,2021,non-hodgkin lymphoma,~,32.3098298,-101.9618363,0
Mason,48319,2021,non-hodgkin lymphoma,~,30.7039156,-99.237302,0
Matagorda,48321,2021,non-hodgkin lymphoma,~,28.7747601,-96.0015316,~
Maverick,48323,2021,non-hodgkin lymphoma,~,28.7297873,-100.316678,~
McCulloch,48307,2021,non-hodgkin lymphoma,~,31.2054766,-99.3598557,~
McLennan,48309,2021,non-hodgkin lymphoma,17.1,31.5495958,-97.2015108,51
Medina,48325,2021,non-hodgkin lymphoma,~,29.3536614,-99.1110845,~
Menard,48327,2021,non-hodgkin lymphoma,~,30.8852677,-99.8588613,0
Midland,48329,2021,non-hodgkin lymphoma,17.1,31.8142693,-102.0024538,25
Milam,48331,2021,non-hodgkin lymphoma,~,30.791242,-96.9843946,~
Mills,48333,2021,non-hodgkin lymphoma,~,31.4948885,-98.5946231,~
Mitchell,48335,2021,non-hodgkin lymphoma,~,32.3041168,-100.9243924,~
Montague,48337,2021,non-hodgkin lymphoma,~,33.6783558,-97.7250138,~
Montgomery,48339,2021,non-hodgkin lymphoma,17.4,30.2988009,-95.50295,115
Moore,48341,2021,non-hodgkin lymphoma,~,35.8356759,-101.8905018,~
Morris,48343,2021,non-hodgkin lymphoma,~,33.116466,-94.7312653,~
Motley,48345,2021,non-hodgkin lymphoma,~,34.0578993,-100.7931519,~
Nacogdoches,48347,2021,non-hodgkin lymphoma,~,31.6205598,-94.6202497,~
Navarro,48349,2021,non-hodgkin lymphoma,~,32.0433487,-96.476406,~
Newton,48351,2021,non-hodgkin lymphoma,~,30.7867182,-93.73925,~
Nolan,48353,2021,non-hodgkin lymphoma,~,32.3123379,-100.4181078,~
Nueces,48355,2021,non-hodgkin lymphoma,15.4,27.7399747,-97.516301,61
Ochiltree,48357,2021,non-hodgkin lymphoma,~,36.2787442,-100.8158636,0
Oldham,48359,2021,non-hodgkin lymphoma,~,35.4019206,-102.5976203,~
Orange,48361,2021,non-hodgkin lymphoma,19.2,30.1223229,-93.8940999,20
Palo Pinto,48363,2021,non-hodgkin lymphoma,~,32.7522042,-98.3179673,~
Panola,48365,2021,non-hodgkin lymphoma,~,32.1639784,-94.3051563,~
Parker,48367,2021,non-hodgkin lymphoma,16.3,32.7770964,-97.8059049,29
Parmer,48369,2021,non-hodgkin lymphoma,~,34.5321628,-102.7848533,~
Pecos,48371,2021,non-hodgkin lymphoma,~,30.773298,-102.7181533,~
Polk,48373,2021,non-hodgkin lymphoma,29.4,30.7845525,-94.8373376,21
Potter,48375,2021,non-hodgkin lymphoma,14.6,35.3986751,-101.893804,19
Presidio,48377,2021,non-hodgkin lymphoma,~,30.0058912,-104.2616192,~
Rains,48379,2021,non-hodgkin lymphoma,~,32.8704571,-95.795613,~
Randall,48381,2021,non-hodgkin lymphoma,20.2,34.962529,-101.8955472,34
Reagan,48383,2021,non-hodgkin lymphoma,~,31.3751911,-101.5143954,~
Real,48385,2021,non-hodgkin lymphoma,~,29.8300967,-99.812549,~
Red River,48387,2021,non-hodgkin lymphoma,~,33.6196255,-95.0484293,~
Reeves,48389,2021,non-hodgkin lymphoma,~,31.308366,-103.712706,~
Refugio,48391,2021,non-hodgkin lymphoma,~,28.3221157,-97.1624723,0
Robertson,48395,2021,non-hodgkin lymphoma,~,31.025481,-96.5149408,~
Rockwall,48397,2021,non-hodgkin lymphoma,15.6,32.9002804,-96.4120493,17
Runnels,48399,2021,non-hodgkin lymphoma,~,31.8451193,-99.9827145,~
Rusk,48401,2021,non-hodgkin lymphoma,~,32.1094232,-94.7563823,~
Sabine,48403,2021,non-hodgkin lymphoma,~,31.3432997,-93.8519129,~
San Augustine,48405,2021,non-hodgkin lymphoma,~,31.3824492,-94.1631796,~
San Jacinto,48407,2021,non-hodgkin lymphoma,~,30.5743884,-95.1631363,~
San Patricio,48409,2021,non-hodgkin lymphoma,~,28.0117944,-97.5171566,~
San Saba,48411,2021,non-hodgkin lymphoma,~,31.1551375,-98.8192922,~
Schleicher,48413,2021,non-hodgkin lymphoma,~,30.8962331,-100.5272161,~
Scurry,48415,2021,non-hodgkin lymphoma,~,32.7443531,-100.9133465,~
Shackelford,48417,2021,non-hodgkin lymphoma,~,32.7438198,-99.3470045,~
Shelby,48419,2021,non-hodgkin lymphoma,~,31.7901394,-94.1425794,~
Sherman,48421,2021,non-hodgkin lymphoma,~,36.2785929,-101.8992648,~
Smith,48423,2021,non-hodgkin lymphoma,18.2,32.3751053,-95.2689389,55
Somervell,48425,2021,non-hodgkin lymphoma,~,32.2180714,-97.769217,~
Starr,48427,2021,non-hodgkin lymphoma,~,26.5309027,-98.7402346,~
Stephens,48429,2021,non-hodgkin lymphoma,~,32.7380521,-98.8393443,~
Sterling,48431,2021,non-hodgkin lymphoma,~,31.8357735,-101.0549114,0
Stonewall,48433,2021,non-hodgkin lymphoma,~,33.1795797,-100.2538069,0
Sutton,48435,2021,non-hodgkin lymphoma,~,30.5221852,-100.5133594,0
Swisher,48437,2021,non-hodgkin lymphoma,~,34.5263193,-101.7438647,~
Tarrant,48439,2021,non-hodgkin lymphoma,18.5,32.7721191,-97.2912241,385
Taylor,48441,2021,non-hodgkin lymphoma,17.3,32.2971255,-99.8904299,26
Terry,48445,2021,non-hodgkin lymphoma,~,33.171229,-102.339284,~
Throckmorton,48447,2021,non-hodgkin lymphoma,~,33.1706954,-99.205796,0
Titus,48449,2021,non-hodgkin lymphoma,~,33.214599,-94.9667825,~
Tom Green,48451,2021,non-hodgkin lymphoma,22,31.3975908,-100.4641683,30
Travis,48453,2021,non-hodgkin lymphoma,18.8,30.2395128,-97.6912697,226
Trinity,48455,2021,non-hodgkin lymphoma,~,31.096675,-95.1516869,~
Tyler,48457,2021,non-hodgkin lymphoma,~,30.7692953,-94.3756561,~
Upshur,48459,2021,non-hodgkin lymphoma,~,32.7353495,-94.9411837,~
Upton,48461,2021,non-hodgkin lymphoma,~,31.3538163,-102.0415461,0
Uvalde,48463,2021,non-hodgkin lymphoma,~,29.3503081,-99.768427,~
Val Verde,48465,2021,non-hodgkin lymphoma,~,29.8752853,-101.1433237,~
Van Zandt,48467,2021,non-hodgkin lymphoma,28.8,32.5587866,-95.8369057,25
Victoria,48469,2021,non-hodgkin lymphoma,17.6,28.7963699,-96.9711977,20
Walker,48471,2021,non-hodgkin lymphoma,~,30.7431631,-95.5698246,~
Waller,48473,2021,non-hodgkin lymphoma,~,30.0135901,-95.9821493,~
Ward,48475,2021,non-hodgkin lymphoma,~,31.5130687,-103.1051127,~
Washington,48477,2021,non-hodgkin lymphoma,~,30.2150752,-96.4102717,~
Webb,48479,2021,non-hodgkin lymphoma,17.6,27.7607987,-99.3407518,41
Wharton,48481,2021,non-hodgkin lymphoma,~,29.2784805,-96.2296745,~
Wheeler,48483,2021,non-hodgkin lymphoma,~,35.3926026,-100.2531135,~
Wichita,48485,2021,non-hodgkin lymphoma,16.3,33.9882125,-98.7080098,25
Wilbarger,48487,2021,non-hodgkin lymphoma,~,34.0849199,-99.2424397,~
Willacy,48489,2021,non-hodgkin lymphoma,~,26.4818607,-97.5947313,~
Williamson,48491,2021,non-hodgkin lymphoma,20.3,30.6490817,-97.6050646,132
Wilson,48493,2021,non-hodgkin lymphoma,~,29.173883,-98.0867336,~
Winkler,48495,2021,non-hodgkin lymphoma,~,31.8328615,-103.0549246,0
Wise,48497,2021,non-hodgkin lymphoma,~,33.2193461,-97.6529857,~
Wood,48499,2021,non-hodgkin lymphoma,21.8,32.7835881,-95.3821664,16
Yoakum,48501,2021,non-hodgkin lymphoma,~,33.1623386,-102.8322409,0
Young,48503,2021,non-hodgkin lymphoma,~,33.1587778,-98.6783895,~
Zapata,48505,2021,non-hodgkin lymphoma,~,26.9969806,-99.1826027,~
Zavala,48507,2021,non-hodgkin lymphoma,~,28.8646523,-99.7598304,~
Anderson,48001,2022,non-hodgkin lymphoma,~,31.8412614,-95.6617267,~
Andrews,48003,2022,non-hodgkin lymphoma,~,32.3122581,-102.6402058,~
Angelina,48005,2022,non-hodgkin lymphoma,~,31.2518963,-94.6111337,~
Aransas,48007,2022,non-hodgkin lymphoma,~,28.1226209,-96.9675012,~
Archer,48009,2022,non-hodgkin lymphoma,~,33.6163054,-98.6872669,~
Armstrong,48011,2022,non-hodgkin lymphoma,~,34.964179,-101.3566363,0
Atascosa,48013,2022,non-hodgkin lymphoma,~,28.8914775,-98.535381,~
Austin,48015,2022,non-hodgkin lymphoma,~,29.8919013,-96.2701696,~
Bailey,48017,2022,non-hodgkin lymphoma,~,34.0675209,-102.8303446,~
Bandera,48019,2022,non-hodgkin lymphoma,~,29.756389,-99.2482849,~
Bastrop,48021,2022,non-hodgkin lymphoma,19.9,30.1007718,-97.3106392,25
Baylor,48023,2022,non-hodgkin lymphoma,~,33.6188024,-99.2081888,0
Bee,48025,2022,non-hodgkin lymphoma,~,28.4160769,-97.7425858,~
Bell,48027,2022,non-hodgkin lymphoma,16.7,31.0370095,-97.4796349,60
Bexar,48029,2022,non-hodgkin lymphoma,18.2,29.4486708,-98.5201465,376
Blanco,48031,2022,non-hodgkin lymphoma,~,30.266203,-98.3993321,~
Bosque,48035,2022,non-hodgkin lymphoma,~,31.9008189,-97.6376407,~
Bowie,48037,2022,non-hodgkin lymphoma,21.5,33.4460648,-94.422393,25
Brazoria,48039,2022,non-hodgkin lymphoma,19,29.1678175,-95.434647,74
Brazos,48041,2022,non-hodgkin lymphoma,15.2,30.6567132,-96.3023935,29
Brewster,48043,2022,non-hodgkin lymphoma,~,29.8089965,-103.2524579,0
Briscoe,48045,2022,non-hodgkin lymphoma,~,34.5251725,-101.205893,0
Brooks,48047,2022,non-hodgkin lymphoma,~,27.0349936,-98.2152756,~
Brown,48049,2022,non-hodgkin lymphoma,~,31.7641372,-98.998456,~
Burleson,48051,2022,non-hodgkin lymphoma,~,30.4934867,-96.6220912,~
Burnet,48053,2022,non-hodgkin lymphoma,~,30.7896305,-98.2011868,~
Caldwell,48055,2022,non-hodgkin lymphoma,~,29.8323986,-97.628141,~
Calhoun,48057,2022,non-hodgkin lymphoma,~,28.4417191,-96.5795739,~
Callahan,48059,2022,non-hodgkin lymphoma,~,32.2931499,-99.372249,~
Cameron,48061,2022,non-hodgkin lymphoma,23.7,26.1029227,-97.4789584,105
Camp,48063,2022,non-hodgkin lymphoma,~,32.9745813,-94.979085,~
Carson,48065,2022,non-hodgkin lymphoma,~,35.4054961,-101.3553558,~
Cass,48067,2022,non-hodgkin lymphoma,~,33.0836979,-94.3575786,~
Castro,48069,2022,non-hodgkin lymphoma,~,34.5336207,-102.2587856,~
Chambers,48071,2022,non-hodgkin lymphoma,~,29.6963741,-94.6694454,~
Cherokee,48073,2022,non-hodgkin lymphoma,~,31.8438787,-95.1563431,~
Childress,48075,2022,non-hodgkin lymphoma,~,34.5246609,-100.208194,0
Clay,48077,2022,non-hodgkin lymphoma,~,33.7859042,-98.2129174,~
Cochran,48079,2022,non-hodgkin lymphoma,~,33.6084401,-102.830449,0
Coke,48081,2022,non-hodgkin lymphoma,~,31.8771104,-100.6352305,0
Coleman,48083,2022,non-hodgkin lymphoma,~,31.9142052,-99.3466223,~
Collin,48085,2022,non-hodgkin lymphoma,16.7,33.1944818,-96.5794285,191
Collingsworth,48087,2022,non-hodgkin lymphoma,~,34.9633577,-100.2721351,0
Colorado,48089,2022,non-hodgkin lymphoma,~,29.5962618,-96.5088884,~
Comal,48091,2022,non-hodgkin lymphoma,20.5,29.8123773,-98.2581288,47
Comanche,48093,2022,non-hodgkin lymphoma,~,31.9516447,-98.5496169,~
Concho,48095,2022,non-hodgkin lymphoma,~,31.3188831,-99.8636485,0
Cooke,48097,2022,non-hodgkin lymphoma,~,33.6391964,-97.2103433,~
Coryell,48099,2022,non-hodgkin lymphoma,~,31.3911774,-97.7980223,~
Cottle,48101,2022,non-hodgkin lymphoma,~,34.0919063,-100.2764416,0
Crane,48103,2022,non-hodgkin lymphoma,~,31.4396085,-102.4925044,~
Crockett,48105,2022,non-hodgkin lymphoma,~,30.7175316,-101.4042113,~
Crosby,48107,2022,non-hodgkin lymphoma,~,33.609144,-101.2987099,0
Culberson,48109,2022,non-hodgkin lymphoma,~,31.4459085,-104.5269447,0
Dallam,48111,2022,non-hodgkin lymphoma,~,36.2863696,-102.5940204,~
Dallas,48113,2022,non-hodgkin lymphoma,17.8,32.7669866,-96.7784238,438
Dawson,48115,2022,non-hodgkin lymphoma,~,32.742528,-101.9487714,0
De Witt,48117,2022,non-hodgkin lymphoma,~,34.9407663,-102.6075637,~
Deaf Smith,48119,2022,non-hodgkin lymphoma,~,33.3859329,-95.6733504,~
Delta,48121,2022,non-hodgkin lymphoma,~,33.205132,-97.1211403,~
Denton,48123,2022,non-hodgkin lymphoma,16.1,29.0823457,-97.3616543,149
Dickens,48125,2022,non-hodgkin lymphoma,~,33.6153625,-100.7876176,0
Dimmit,48127,2022,non-hodgkin lymphoma,~,28.4235871,-99.7658713,~
Donley,48129,2022,non-hodgkin lymphoma,~,34.9550364,-100.8158457,0
Duval,48131,2022,non-hodgkin lymphoma,~,27.6811232,-98.4973933,~
Eastland,48133,2022,non-hodgkin lymphoma,~,32.3246454,-98.8365596,~
Ector,48135,2022,non-hodgkin lymphoma,22,31.8653008,-102.5425068,29
Edwards,48137,2022,non-hodgkin lymphoma,~,29.9859327,-100.3073997,0
El Paso,48141,2022,non-hodgkin lymphoma,15.6,31.7664559,-106.2415203,138
Ellis,48139,2022,non-hodgkin lymphoma,14.9,32.3468783,-96.7969403,34
Erath,48143,2022,non-hodgkin lymphoma,~,32.2362068,-98.2183364,~
Falls,48145,2022,non-hodgkin lymphoma,~,31.2519298,-96.9341275,~
Fannin,48147,2022,non-hodgkin lymphoma,~,33.5911611,-96.1049882,~
Fayette,48149,2022,non-hodgkin lymphoma,~,29.8778861,-96.9212309,~
Fisher,48151,2022,non-hodgkin lymphoma,~,32.7404728,-100.4031198,~
Floyd,48153,2022,non-hodgkin lymphoma,~,34.0737305,-101.3032742,0
Foard,48155,2022,non-hodgkin lymphoma,~,33.9633063,-99.8168285,0
Fort Bend,48157,2022,non-hodgkin lymphoma,18.2,29.5266017,-95.7710149,162
Franklin,48159,2022,non-hodgkin lymphoma,~,33.1758457,-95.2190662,~
Freestone,48161,2022,non-hodgkin lymphoma,~,31.7017487,-96.1449568,~
Frio,48163,2022,non-hodgkin lymphoma,~,28.8693828,-99.109005,~
Gaines,48165,2022,non-hodgkin lymphoma,~,32.7439423,-102.6315614,~
Galveston,48167,2022,non-hodgkin lymphoma,18.3,29.2339273,-94.8881969,76
Garza,48169,2022,non-hodgkin lymphoma,~,33.183792,-101.3011341,0
Gillespie,48171,2022,non-hodgkin lymphoma,~,30.3250955,-98.9418446,~
Glasscock,48173,2022,non-hodgkin lymphoma,~,31.8680062,-101.5214944,~
Goliad,48175,2022,non-hodgkin lymphoma,~,28.6607,-97.4304145,0
Gonzales,48177,2022,non-hodgkin lymphoma,~,29.4619121,-97.4919205,~
Gray,48179,2022,non-hodgkin lymphoma,~,35.4025424,-100.8123736,~
Grayson,48181,2022,non-hodgkin lymphoma,31.7,33.6245482,-96.6757774,52
Gregg,48183,2022,non-hodgkin lymphoma,16.2,32.4864014,-94.8162768,23
Grimes,48185,2022,non-hodgkin lymphoma,~,30.5432314,-95.988082,~
